00000678-2363-4318-986f-51f923547ed2-1524241161500,r3608Vqu54RpAWZuh6FKnFsA2dK69AMuO0nF8jSHiqO6wiOHplN3roA4nxJSplbTW7Ca,BOUNCER,False
00000922-11f6-41a0-9ba0-1adcec554771-1537821865875,r390bi5c5984ShPIfted6wi9Ay7XOxLy8AKHQXyctKKcHSQe6uuvZU41v2TjsYuG79eB,BOUNCER,False
00001b80-386d-445f-ad28-e2972a40cfe3-1547469770973,r390ctg7NDFUKRT1l2HeFXTDsGBwZ4S47xR9K9jAqvfPuGn6fatiUBgBeFNCKX9nHuQj,BOUNCER,False
00001399-4343-4f0b-8f6a-2ea0bda545c2-1520927306408,r341z4H2SHYbpZ9Irjb8nbn5dl5DLc8dsqU9D6Howns2KM0f9F6K7QJ17jhyiNoqch4F,BROWSER,False
00004118-db36-4908-930c-4a2734a47597-1542539680948,r390dXciB33yK2WWJOuoMFaHfR6FD4lHxWsWn56jpcDPte8qEQEvQcpOQs9OrpczTsp7,BOUNCER,False
00001fbb-52b2-42bd-8f40-9a828b8fcf93,r341x8LftPbHjYIhvmczBMsC6W1kjTEEcO2w6LGB2O5uDyFUyd06joLwoBdhjeNW3mKI,FUN_SHOPPER,False
000045e1-e940-41d5-b8bf-618a71456a3f-1529736181872,r380uiVZWDBFoPg1r1ZlebvQe7is1xI1ZAqDtufVZuA7jy0lJT3KQHKz0KpTD1e3mBgm,BOUNCER,False
0000093b-ab63-4aef-a8b4-58ce835bf785-1545052518588,r390h5gRi2a8K5IQhY4we83lgqvYoMAIeOJjT3R0l3H5WPNKrgq3B4lzLh6knZtEaNa9,JUDGER,False
000051b2-89aa-4ecb-a521-428c3b9624b2-1534418077410,r390OHSjr8BrhQ3LcOZO9NzGjUOvPHOUTZion9WlZ2vMIcvZVnolmu5Rk6vfNnHwzcxu,BOUNCER,False
000050f1-b73e-4999-ba62-f4cc137ee01f-1534926851435,r390R3xF11ol6xruDRgwgQaRfnKm3rEwmEp1Lj5IhNi2ZQlZj6LEkoMiImwosgARV4nN,BROWSER,False
0000584d-c16a-4f38-be13-0e5f76cdd4ce-1542637693118,r390QCMj7ysZFC7J2nwTkwMo0QNzF1g1HoQTFOuGUBp27T21BAqPDaUnChegAadX50UM,BROWSER,False
00001be6-4c10-4779-ba0a-e5472f5143e9-1528631542274,r3417tcOl9bpQHeNfQGY2BZVzBURAeW0ZxaqPB5QXTrwpyeyLInBfiZ2yzrmQcckYxrP,JUDGER,False
00005a5c-a7ea-411a-bcca-52b830a0b82e-1543591226612,r372IlryVyF8ujc78KEPXsEdtH8uMCibGuFmTzvKF2JFjKx2D1ycR3JR2oU8moA6Wjok,BROWSER,False
00005bd3-6da7-473e-8fa5-bb1ad6b402a4-1544462846328,r390Y8axOS8tbshepsx3dhK26yj0QW1FyduVTI65XvJy0i4TBV9KBHFb1BTuG3q4xCik,BROWSER,False
00005db0-29a6-4ead-baa3-f701ba57871f-1537609489953,r390aQfh5VGxGyU18kSvwmv4oZGxMNvJXMNLLKuixos2EYtbyuIHNBHNxp2x0RKoB6yw,BOUNCER,False
00005f1f-fb66-4b91-88a7-a51f89e389e8-1546244935444,r390nII36h2qOrtAkoVnozSgvQHrz8FhNauXU2RdNAdZsJ7OXyoLVO3jfKPCgiwPpCNz,BROWSER,False
00002a77-f4c9-43b2-a153-f66b352a6045-1531678503237,r380bT6J7Oi86Mhy6A33r6kvGBo4IfOzKw3D2qNFmtwl7oraLQD68o6cbaMuNYPgCAG5,BOUNCER,False
0000631f-050b-4fd0-80f0-efe014c9a6a1,r3419r2dnRbjcazJ9Gnges7N9OZSGJk8mvHJEF1TxIyywwBG81jouDRuDPQiCyPjbo4r,NULL,False
000062c5-7044-46a7-a429-1f9657996113-1522319474762,r355aioEJHtEhrNIvkWhJ6DxArJJq1HeoLXkymfqHLASM1ewxtljFTDK6eVcMUFF1Lny,JUDGER,False
00002672-ecad-4d96-a3c0-ba770ab10c54,r341nQoIJccM56s6fse3WtRTsUu1nPYA1xCPi8kUF9WXzRTWzZ5Uzq8xcFwzHii9Le6t,NULL,False
